City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Cabo San Lucas,MX,22.8909,-109.9124,81.61,60,1,5.01,clear sky
79,Grindavik,IS,63.8424,-22.4338,34.27,75,20,13.8,few clouds
80,Nikolskoye,RU,59.7035,30.7861,26.49,96,88,5.23,overcast clouds
81,Norman Wells,CA,65.282,-126.8329,-20.16,76,75,4.61,light snow
82,Talmenka,RU,53.8183,83.5677,-12.62,89,81,2.17,broken clouds
83,Chara,RU,56.9064,118.2631,-22.76,84,97,1.5,overcast clouds
84,Ribeira Grande,PT,38.5167,-28.7,68.4,88,75,30.0,broken clouds
85,Avarua,CK,-21.2078,-159.775,80.65,69,20,16.11,few clouds
86,Muravlenko,RU,63.7898,74.523,-6.93,91,78,9.22,broken clouds
87,Rio Gallegos,AR,-51.6226,-69.2181,60.85,67,100,19.57,light rain
88,Tuktoyaktuk,CA,69.4541,-133.0374,-16.6,83,75,9.22,broken clouds
89,Vaitape,PF,-16.5167,-151.75,78.69,72,6,9.33,clear sky
90,Tiksi,RU,71.6872,128.8694,-28.03,100,48,6.87,scattered clouds
91,Souillac,MU,-20.5167,57.5167,75.58,83,75,4.61,broken clouds
92,Ziyang,CN,29.2497,117.8547,61.84,95,100,5.66,overcast clouds
93,Bluff,NZ,-46.6,168.3333,59.81,81,100,7.02,overcast clouds
94,Carnarvon,AU,-24.8667,113.6333,70.95,83,0,14.85,clear sky
95,Katobu,ID,-4.9408,122.5276,75.78,91,91,0.43,overcast clouds
96,Georgetown,MY,5.4112,100.3354,79.23,90,20,0.0,few clouds
97,Lompoc,US,34.6391,-120.4579,67.01,70,40,10.36,scattered clouds
98,Touros,BR,-5.1989,-35.4608,78.91,75,52,9.24,broken clouds
99,Obzor,BG,42.8167,27.8833,44.82,86,100,17.07,overcast clouds
100,Aklavik,CA,68.2191,-135.0107,-24.25,92,61,4.74,broken clouds
101,Cherskiy,RU,68.75,161.3,2.19,96,100,6.46,overcast clouds
102,Luderitz,NA,-26.6481,15.1594,60.55,89,42,2.15,scattered clouds
103,Ancud,CL,-41.8697,-73.8203,60.67,72,59,12.26,broken clouds
104,Upernavik,GL,72.7868,-56.1549,11.07,95,96,16.84,overcast clouds
105,Isangel,VU,-19.55,169.2667,80.71,83,14,5.75,few clouds
106,Saldanha,ZA,-33.0117,17.9442,73.45,63,77,7.09,broken clouds
107,Hamilton,US,39.1834,-84.5333,47.75,84,97,3.06,overcast clouds
108,Koungou,YT,-12.7336,45.2042,78.51,78,0,4.61,clear sky
109,Urumqi,CN,43.801,87.6005,-10.25,84,0,0.0,clear sky
110,Kieta,PG,-6.2167,155.6333,80.51,84,95,3.62,light rain
111,Udachnyy,RU,66.4167,112.4,-26.03,100,97,3.58,overcast clouds
112,Taltal,CL,-25.4,-70.4833,67.01,77,49,7.31,scattered clouds
113,Pevek,RU,69.7008,170.3133,5.54,90,87,5.12,overcast clouds
114,Rincon,US,32.296,-81.2354,72.86,55,0,1.01,clear sky
115,East London,ZA,-33.0153,27.9116,67.95,79,46,21.94,scattered clouds
116,Vardo,NO,70.3705,31.1107,31.98,86,75,12.66,broken clouds
117,Mahebourg,MU,-20.4081,57.7,75.49,83,75,4.61,broken clouds
118,Biloela,AU,-24.4167,150.5,74.98,81,98,4.74,heavy intensity rain
119,Nadym,RU,65.5333,72.5167,7.93,88,100,9.69,overcast clouds
120,Prince Albert,CA,53.2001,-105.7677,19.35,73,100,17.27,overcast clouds
121,Monrovia,LR,6.3005,-10.7969,78.42,80,25,8.5,scattered clouds
122,West Wendover,US,40.7391,-114.0733,34.47,74,100,15.79,snow
123,Along,IN,28.1667,94.7667,51.53,61,0,2.08,clear sky
124,Port Elizabeth,ZA,-33.918,25.5701,66.49,88,20,14.97,few clouds
